"Faculty","Year","Publication"
"Aslan",2022,"CE Aslan, L Zachmann, RS Epanchin-Niell, MW Brunson, S Veloz, et al.. 2022. Soil characteristics and bare ground cover differ among jurisdictions and disturbance histories in Western US protected area-centered ecosystems, Frontiers in Ecology and Evolution 10, 1053548."
"Aslan",2022,"S Souther, M Sample, G Conley, C Aslan. 2022. Demographic Analysis of the Endangered Plant Pectis imberbis Highlights Tradeoffs between Deer Browse and Interspecific Competition, Natural Areas Journal 42 (3), 230-241."
"Aslan",2022,"LM McCabe, CE Aslan, NS Cobb. 2022. Decreased bee emergence along an elevation gradient, Ecology 103 (2), 1-10."
"Best",2022,"HF Cooper, RJ Best, LV Andrews, JPM Corbin, I Garthwaite, KC Grady, et al.. 2022. Evidence of climate‐driven selection on tree traits and trait plasticity across the climatic range of a riparian foundation species, Molecular Ecology 31 (19), 5024-5040."
"Best",2022,"M Eisenring, RJ Best, MR Zierden, HF Cooper, M Norstrem, TG Whitham, et al.. 2022. Genetic divergence along a climate gradient shapes chemical plasticity of a foundation tree species to both changing climate and herbivore damage, Global Change Biology ."
"Best",2022,"S Sterner, C Aslan, R Best, T Chaudhry. 2022. Forest management effects on vegetation regeneration after a high severity wildfire: A case study in the southern Cascade range, Forest Ecology and Management 520, 120394."
"Best",2022,"CS Bodine, D Buscombe, RJ Best, JA Redner, AJ Kaeser. 2022. PING‐Mapper: Open‐Source Software for Automated Benthic Imaging and Mapping Using Recreation‐Grade Sonar, Earth and Space Science 9 (9), e2022EA002469."
"Best",2022,"M Eisenring, RJ Best, MR Zierden, HF Cooper, M Norstrem, TG Whitham, et al.. 2022. Data from: Genetic divergence along a climate gradient shapes chemical plasticity of a foundation tree species to both changing climate and herbivore damage, Dryad ."
"Biggs",2022,"NL Hammond, A Dickman, D Biggs. 2022. Examining attention given to threats to elephant conservation on social media, Conservation Science and Practice 4 (10), e12785."
"Biggs",2022,"A Braczkowski, R Schenk, D Samarasinghe, D Biggs, A Richardson, et al.. 2022. Leopard and spotted hyena densities in the Lake Mburo National Park, southwestern Uganda, PeerJ 10, e12307."
"Biggs",2022,"KS Pereira, L Gibson, D Biggs, D Samarasinghe, AR Braczkowski. 2022. Individual identification of large felids in field studies: common methods, challenges, and implications for conservation science, Frontiers in Ecology and Evolution 10, 866403."
"Biggs",2022,"SG Wilson, D Biggs, S Kark. 2022. Protecting an icon: Javan rhinoceros frontline management and conservation, Oryx 56 (1), 101-107."
"Dickson",2022,"L Comte, JD Olden, S Lischka, BG Dickson. 2022. Multi-scale threat assessment of riverine ecosystems in the Colorado River Basin, Ecological Indicators 138, 108840."
"Dickson",2022,"CA Starbuck, BG Dickson, CL Chambers. 2022. Informing wind energy development: Land cover and topography predict occupancy for Arizona bats, Plos one 17 (6), e0268573."
"Erb",2022,"MP Erb, NP McKay, N Steiger, S Dee, C Hancock, RF Ivanovic, et al.. 2022. Reconstructing Holocene temperatures in time and space using paleoclimate data assimilation, Climate of the Past 18 (12), 2599-2629."
"Erb",2022,"CC Routson, MP Erb, NP McKay. 2022. High latitude modulation of the Holocene North American monsoon, Geophysical Research Letters 49 (16), e2022GL099772."
"Fegyveresi",2022,"J Gille-Petzoldt, K Gohl, G Uenzelmann-Neben, J Grützner, JP Klages, et al.. 2022. West Antarctic Ice Sheet Dynamics in the Amundsen Sea Sector since the Late Miocene—Tying IODP Expedition 379 Results to Seismic Data, Frontiers in Earth Science 10 (976703)."
"Fegyveresi",2022,"J Fegyveresi. 2022. Carbon Sequestration Through Ponderosa Pine Reforestation, The Earth Scientist 39 (2), 44."
"Gaherty",2022,"ZC Eilon, L Zhang, JB Gaherty, DW Forsyth, JB Russell. 2022. Sub‐lithospheric small‐scale convection tomographically imaged beneath the Pacific plate, Geophysical Research Letters 49 (18), e2022GL100351."
"Gaherty",2022,"ZC Eilon, JB Gaherty, L Zhang, J Russell, S McPeak, J Phillips, et al.. 2022. The Pacific OBS research into convecting asthenosphere (ORCA) experiment, Seismological Society of America 93 (1), 477-493."
"Gaherty",2022,"CJW Carchedi, JB Gaherty, SC Webb, DJ Shillington. 2022. Investigating Short‐Period Lake‐Generated Microseisms Using a Broadband Array of Onshore and Lake‐Bottom Seismometers, Seismological Society of America 93 (3), 1585-1600."
"Gaherty",2022,"JB Russell, JB Gaherty, HF Mark, G Hirth, LN Hansen, D Lizarralde, et al.. 2022. Seismological evidence for girdled olivine lattice‐preferred orientation in oceanic lithosphere and implications for mantle deformation processes during seafloor spreading, Geochemistry, Geophysics, Geosystems 23 (10), e2022GC010542."
"Gaherty",2022,"JB Russell, JB Gaherty, H Mark, G Hirth, L Hansen, D Lizarralde, et al.. 2022. Seismological evidence for grain-size sensitive olivine deformation during mid-ocean ridge spreading, Authorea Preprints ."
"Huntzinger",2022,"Z Hu, S Piao, AK Knapp, X Wang, S Peng, W Yuan, S Running, J Mao, et al.. 2022. Decoupling of greenness and gross primary productivity as aridity decreases, Remote Sensing of Environment 279, 113120."
"Huntzinger",2022,"MA Xenopoulos, A Desai, D Huntzinger, A Bastos, S Fawcett, D Sahagian, et al.. 2022. Statement of Contribution to Diversity, Equity, and Inclusion for JGR: Biogeosciences, Journal of Geophysical Research: Biogeosciences 127 (2), e2022JG006791."
"Huntzinger",2022,"JB Fisher, M Sikka, GL Block, CR Schwalm, NC Parazoo, HR Kolus, et al.. 2022. The terrestrial biosphere model farm, Journal of advances in modeling earth systems 14 (2), e2021MS002676."
"Huntzinger",2022,"MA Xenopoulos, AR Desai, D Huntzinger. 2022. Past to Present: An Update to the Aims and Scope of JGR: Biogeosciences., Journal of Geophysical Research. Biogeosciences 127 (6)."
"Huntzinger",2022,"AR Desai, MA Xenopoulos, D Huntzinger. 2022. Letter of Appreciation to Our 2021 Reviewers., Journal of Geophysical Research. Biogeosciences 127 (4)."
"Huntzinger",2022,"B Poulter, A Bastos, JG Canadell, P Ciais, D Huntzinger, RA Houghton, et al.. 2022. Bottom-up approaches for estimating terrestrial GHG budgets: Bookkeeping, process-based modeling, and data-driven methods, Balancing Greenhouse Gas Budgets 59-85."
"Huntzinger",2022,"T Moiz, K Gurney, R Rushforth, B Ruddell, D Huntzinger, N Parker. 2022. Using Linear Optimization To Model Spatially Resolute Emissions Of CO2 From Gasoline Flows Across The United States, Authorea Preprints ."
"Huntzinger",2022,"Z Chen, S Miller, J Liu, DK Henze, DN Huntzinger, KC Wells. 2022. Exploring the environmental drivers of global terrestrial CO2 fluxes inferred from OCO-2 and a geostatistical inverse model, Authorea Preprints ."
"Huntzinger",2022,"V Guardieiro, MM Raimundo, J Poco. 2022. Analyzing the Equity of the Brazilian National High School Exam by Validating the Item Response Theory's Invariance., EDM ."
"Joyal",2022,"K Guetz, T Joyal, B Dickson, D Perry. 2022. Prioritizing dams for removal to advance restoration and conservation efforts in the western United States, Restoration Ecology 30 (5), e13583."
"Joyal",2022,"RC Porter, T Joyal, R Beers, A Youberg, J Loverich, E Schenk, et al.. 2022. Characterization of Environmental Seismic Signals in a Post-Wildfire Environment: Examples from the Museum Fire, AZ, ESS Open Archive eprints 105, essoar. 10512638."
"Kaufman",2022,"K Agiadi, M Azzarone, Q Hua, DS Kaufman, D Thivaiou, PG Albano. 2022. The taphonomic clock in fish otoliths, Paleobiology 48 (1), 154-170."
"Kaufman",2022,"PG Albano, A Sabbatini, J Lattanzio, JF Päßler, J Steger, Q Hua, et al.. 2022. Alleged Lessepsian foraminifera prove native and suggest Pleistocene range expansions into the Mediterranean Sea, Marine Ecology Progress Series 700, 65-78."
"Kaufman",2022,"DS Kaufman, NP McKay. 2022. Past and future warming–direct comparison on multi-century timescales, Climate of the Past 18 (4), 911-917."
"Kaufman",2022,"E Broadman, DS Kaufman, RS Anderson, S Bogle, M Ford, D Fortin, et al.. 2022. Reconstructing postglacial hydrologic and environmental change in the eastern Kenai Peninsula lowlands using proxy data and mass balance modeling, Quaternary Research 107, 1-26."
"Kaufman",2022,"G West, DS Kaufman, M Jakobsson, M O'Regan. 2022. Amino acid racemization in Neogloboquadrina pachyderma and Cibicidoides wuellerstorfi from the Arctic Ocean and its implications for age models, Geochronology Discussions 2022, 1-24."
"Kaufman",2022,"EE Berg, DS Kaufman, RS Anderson, GC Wiles, TV Lowell, EAD Mitchell, et al.. 2022. Late-Glacial and Holocene Lake-Level Fluctuations on the Kenai Lowland, Reconstructed from Satellite-Fen Peat Deposits and Ice-Shoved Ramparts, Kenai Peninsula, Alaska, Quaternary 5 (2), 23."
"Kaufman",2022,"E Millman, L Wheeler, K Billups, D Kaufman, KEH Penkman. 2022. Testing the effect of oxidizing pre-treatments on amino acids in benthic and planktic foraminifera tests, Quaternary Geochronology 73, 101401."
"Kaufman",2022,"T Chauhan, HP Sejrup, BO Hjelstuen, DS Kaufman, I Baig, BTI Reinardy. 2022. Chronology of Early to Mid-Pleistocene sediments in the northern North Sea: New evidence from amino acid and strontium isotope analyses, Quaternary Geochronology 71, 101336."
"Kaufman",2022,"R Neukom, N Steiger, D Kaufman, M Grosjean. 2022. Inconsistent comparison of temperature reconstructions over the Common Era, Dendrochronologia 74, 125965."
"Kaufman",2022,"DW Chamberlin, VR Shervette, DS Kaufman, JE Bright, WF Patterson III. 2022. Can amino acid racemization be utilized for fish age validation?, Canadian Journal of Fisheries and Aquatic Sciences 80 (3), 642-647."
"Kaufman",2022,"SR Durham, GP Dietl, Q Hua, JC Handley, D Kaufman, CP Clark. 2022. Age variability and time averaging in oyster reef death assemblages, bioRxiv 2022.11. 05.515182."
"Kaufman",2022,"D Kaufman, L Marshall, E Schuur, RS Anderson, C Walker, A Kholodov. 2022. Collaborative Research: Climate controls on carbon accumulation in upland permafrost at millennial scales, NSF Arctic Data Center ."
"Kaufman",2022,"D Lunt, A Haywood, D Kaufman. 2022. The Pliocene in the IPCC: AR6 and thoughts on AR7I, GC C10-Pliocene."
"Kaufman",2022,"DS Kaufman. 2022. Data stewardship projects underway, Past Global Changes Magazine 30 (1)."
"Kaufman",2022,"LJ Davies, BJL Jensen, DS Kaufman. 2022. Late Holocene cryptotephra and a provisional 15 000-year Bayesian age model for Cascade Lake, Alaska, Geochronology 4 (1), 121-141."
"McKay",2022,"MP Erb, NP McKay, N Steiger, S Dee, C Hancock, RF Ivanovic, et al.. 2022. Reconstructing Holocene temperatures in time and space using paleoclimate data assimilation, Climate of the Past 18 (12), 2599-2629."
"McKay",2022,"DM Thompson, JL Conroy, BL Konecky, S Stevenson, KL DeLong, et al.. 2022. Identifying Hydro‐Sensitive Coral δ18O Records for Improved High‐Resolution Temperature and Salinity Reconstructions, Geophysical Research Letters 49 (9), e2021GL096153."
"McKay",2022,"CC Routson, MP Erb, NP McKay. 2022. High latitude modulation of the Holocene North American monsoon, Geophysical Research Letters 49 (16), e2022GL099772."
"McKay",2022,"RM Walter, HR Sayani, T Felis, KM Cobb, NJ Abram, AK Arzey, et al.. 2022. The CoralHydro2k Database: a global, actively curated compilation of coral δ18O and Sr / Ca proxy records of tropical ocean hydrology and temperature for the …, Earth System Science Data Discussions 2022, 1-56."
"McKay",2022,"JK Pearman, SA Wood, MJ Vandergoes, J Atalah, S Waters, J Adamson, et al.. 2022. A bacterial index to estimate lake trophic level: National scale validation, Science of the Total Environment 812, 152385."
"McKay",2022,"DS Kaufman, NP McKay. 2022. Past and future warming–direct comparison on multi-century timescales, Climate of the Past 18 (4), 911-917."
"McKay",2022,"E Broadman, DS Kaufman, RS Anderson, S Bogle, M Ford, D Fortin, et al.. 2022. Reconstructing postglacial hydrologic and environmental change in the eastern Kenai Peninsula lowlands using proxy data and mass balance modeling, Quaternary Research 107, 1-26."
"McKay",2022,"SH Arcusa, NP McKay, C Wiman, S Patterson, SE Munoz, et al.. 2022. A Bayesian approach to integrating radiometric dating and varve measurements in intermittently indistinct sediment, Geochronology 4 (1), 409-433."
"McKay",2022,"S Manety, D Khider, C Heiser, N McKay, J Emile-Geay, C Routson. 2022. PaleoRec: A sequential recommender system for the annotation of paleoclimate datasets, Environmental Data Science 1, e4."
"Mueller",2022,"RA Fitch, JM Mueller, R Ruiz, W Rousse. 2022. Recreation matters: Estimating millennials’ preferences for native American cultural tourism, Sustainability 14 (18), 11513."
"Mueller",2022,"JM Mueller, JB Loomis, L Richardson, RA Fitch. 2022. Valuing impacts of proximity to Saguaro National Park on house prices, Applied Economic Perspectives and Policy 44 (3), 1359-1372."
"Mueller",2022,"AB Soder, JM Mueller, AE Springer, KE LaPine. 2022. Geospatial Analysis of Nonmarket Values to Prioritize Forest Restoration, Land 11 (9), 1387."
"Nielsen",2022,"ER Cowan, KE Grimm, EJ Davis, EA Nielsen, AEM Waltz. 2022. New hands in US public lands management: The role and influence of nonagency partners in Forest Service stewardship agreements, Journal of Forestry 120 (3), 302-315."
"Nielsen",2022,"Z Pearson, A Skiba, K McSweeney, E Nielsen, J Piccorelli. 2022. Acknowledging Cocaine Capital in Central American Development, Journal of Illicit Economies and Development 4 (2)."
"Nielsen",2022,"C Farfán-Méndez, RLC Grandmaison, N Morris, JF Velázquez, B Smith, et al.. 2022. Journal of Illicit Economies and Development, Policy 4 (2), 204-222."
"Parnell",2022,"KM Donovan, AE Springer, BW Tobin, RA Parnell. 2022. Karst Spring processes and storage implications in high elevation, semiarid southwestern United States, Threats to Springs in a Changing World: Science and Policies for Protection … ."
"Perry",2022,"K Guetz, T Joyal, B Dickson, D Perry. 2022. Prioritizing dams for removal to advance restoration and conservation efforts in the western United States, Restoration Ecology 30 (5), e13583."
"Perry",2022,"P Li, M Shen, DM Perry, C Li, M Zhao, P Yang. 2022. A comparative study on the spatial distribution characteristics and the driving factors of protected river systems between China and the United States of America, Ecological Indicators 135, 108505."
"Porter",2022,"E Bell Jr, N Schmerr, R Porter, J Bleacher, K Young, MH Huang, V Lekic, et al.. 2022. Active seismic exploration along a human lunar mission traverse analogue in the San Francisco volcanic field, The Leading Edge 41 (10), 690-699."
"Porter",2022,"RC Porter, T Joyal, R Beers, A Youberg, J Loverich, E Schenk, et al.. 2022. Characterization of Environmental Seismic Signals in a Post-Wildfire Environment: Examples from the Museum Fire, AZ, ESS Open Archive eprints 105, essoar. 10512638."
"Ranjan",2022,"J Lu, P Ranjan, K Floress, JG Arbuckle, SP Church, FR Eanes, Y Gao, et al.. 2022. A meta-analysis of agricultural conservation intentions, behaviors, and practices: Insights from 35 years of quantitative literature in the United States, Journal of Environmental Management 323, 116240."
"Ranjan",2022,"P Ranjan, JG Arbuckle, SP Church, FR Eanes, K Floress, Y Gao, et al.. 2022. Understanding the relationship between land tenure and conservation behavior: Recommendations for social science research, Land Use Policy 120, 106161."
"Ranjan",2022,"CB Wardropper, LA Esman, SC Harden, YJ Masuda, P Ranjan, C Weigel, et al.. 2022. Applying a “fail‐fast” approach to conservation in US agriculture, Conservation Science and Practice, e e0619."
"Ranjan",2022,"P Ranjan, EM Usher, HT Bates, EK Zimmerman, JC Tyndall, CJ Morris, et al.. 2022. Understanding barriers and opportunities for diffusion of an agricultural decision-support tool: An organizational perspective, Journal of Hydrology 607, 127584."
"Ranjan",2022,"SP Church, CB Wardropper, E Usher, LF Bean, A Gilbert, FR Eanes, et al.. 2022. How does co-produced research influence adaptive capacity? Lessons from a cross-case comparison, Socio-Ecological Practice Research 4 (3), 205-219."
"Ranjan",2022,"P Ranjan, TM Koontz. 2022. Dilemmas of public goods provisioning: institutional mechanisms for agricultural drainage management in Ohio, USA, Journal of Environmental Planning and Management 66 (2), 327-347."
"Regalla",2022,"CE Seyler, JD Kirkpatrick, C Faber, A Licht, D Šilerová, C Regalla. 2022. Structural and metamorphic history of the Leech River shear zone, Vancouver Island, British Columbia, Tectonics 41 (11), e2021TC007132."
"Regalla",2022,"N Harrichhausen, KD Morell, C Regalla, EM Lynch, LJ Leonard. 2022. Eocene terrane accretion in northern Cascadia recorded by brittle left‐lateral slip on the San Juan fault, Tectonics 41 (10), e2022TC007317."
"Regalla",2022,"C Regalla, E Kirby, S Mahan, E McDonald, H Pangrcic, A Binkley, et al.. 2022. Late Holocene rupture history of the Ash Hill fault, Eastern California Shear Zone, and the potential for seismogenic strain transfer between nearby faults, Earth Surface Processes and Landforms 47 (12), 2897-2925."
"Regalla",2022,"NT Harrichhausen, KD Finley, C Morell, SEK Regalla, LJ Bennett, et al.. 2022. Paleoseismic study of the XEOLXELEK-Elk Lake fault: A newly identified Holocene fault in the northern Cascadia forearc near Victoria, British Columbia, Canada, Proceedings of the 11th International INQUA meeting on Paleoseismology …."
"Reid",2022,"RC Porter, MR Reid. 2022. Mapping the thermal lithosphere and melting across the continental US, Authorea Preprints ."
"Routson",2022,"S Gangopadhyay, CA Woodhouse, GJ McCabe, CC Routson, DM Meko. 2022. Tree rings reveal unmatched 2nd century drought in the Colorado River Basin, Geophysical Research Letters 49 (11), e2022GL098781."
"Routson",2022,"CC Routson, MP Erb, NP McKay. 2022. High latitude modulation of the Holocene North American monsoon, Geophysical Research Letters 49 (16), e2022GL099772."
"Routson",2022,"C Woodhouse, C Routson, D Meko, S Gangopadhyay, G McCabe. 2022. The Second Century Drought in the Upper Colorado River Basin, Authorea Preprints ."
"Routson",2022,"S Gangopadhyay, CA Woodhouse, GJ McCabe, C Routson, DM Meko. 2022. A 2000-year Streamflow Time Series for the Colorado River at Lees Ferry, AZ, Frontiers in Hydrology 2022, 317-02."
"Routson",2022,"S Manety, D Khider, C Heiser, N McKay, J Emile-Geay, C Routson. 2022. PaleoRec: A sequential recommender system for the annotation of paleoclimate datasets, Environmental Data Science 1, e4."
"Rowe",2022,"R Kays, MV Cove, J Diaz, K Todd, C Bresnan, M Snider, TE Lee Jr, et al.. 2022. SNAPSHOT USA 2020: A second coordinated national camera trap survey of the United States during the COVID‐19 pandemic, Ecology 103 (10), e3775."
"Rowe",2022,"HI Rowe, TA Sprague, P Staker. 2022. Comparing common fountain grass removal techniques: cost efficacy and response of native plant community, Biological Invasions 24 (12), 3817-3830."
"Rowe",2022,"HI Rowe, TA Sprague, B Ball, D Langenfeld, L Rivera. 2022. Restoring closed trails in the Sonoran Desert: interactions of seed timing, seed source, and ripping, Restoration Ecology 30 (2), e13532."
"Sankey",2022,"T Sankey, J Tatum. 2022. Thinning increases forest resiliency during unprecedented drought, Scientific Reports 12 (1), 9041."
"Sankey",2022,"H Rodenhizer, F Belshe, G Celis, J Ledman, M Mauritz, S Goetz, et al.. 2022. Abrupt permafrost thaw accelerates carbon dioxide and methane release at a tussock tundra site, Arctic, Antarctic, and Alpine Research 54 (1), 443-464."
"Sankey",2022,"A Belmonte, T Sankey, J Biederman, J Bradford, T Kolb. 2022. Soil moisture response to seasonal drought conditions and post-thinning forest structure, Ecohydrology 1, https://doi.org/10.1002/eco.2406."
"Sankey",2022,"V Lecours, M Disney, K He, N Pettorelli, JM Rowcliffe, T Sankey, K Scales. 2022. Remote sensing and the UN Ocean Decade: high expectations, big opportunities, Remote Sensing in Ecology and Conservation 8 (3), 267-271."
"Shillington",2022,"JN Williams, LNJ Wedmore, CA Scholz, F Kolawole, LJM Wright, et al.. 2022. The Malawi active fault database: An onshore‐offshore database for regional assessment of seismic hazard and tectonic evolution, Geochemistry, Geophysics, Geosystems 23 (5), e2022GC010425."
"Shillington",2022,"RL Gawthorpe, N Fabregas, S Pechlivanidou, M Ford, REL Collier, et al.. 2022. Late Quaternary mud‐dominated, basin‐floor sedimentation of the Gulf of Corinth, Greece: Implications for deep‐water depositional processes and controls on syn‐rift sedimentation, Basin Research ."
"Shillington",2022,"DJ Shillington, A Bécel, MR Nedimović. 2022. Upper plate structure and megathrust properties in the Shumagin Gap near the July 2020 M7. 8 Simeonof event, Geophysical Research Letters, e e2021GL096974."
"Shillington",2022,"JN Williams, LNJ Wedmore, Å Fagereng, MJ Werner, H Mdala, et al.. 2022. Geologic and geodetic constraints on the magnitude and frequency of earthquakes along Malawi's active faults: the Malawi Seismogenic Source Model (MSSM), Natural Hazards and Earth System Sciences 22 (11), 3607-3639."
"Shillington",2022,"C Xu, RA Dunn, AB Watts, DJ Shillington, I Grevemeyer, et al.. 2022. A seismic tomography, gravity, and flexure study of the crust and upper mantle structure of the Emperor Seamounts at Jimmu guyot, Journal of Geophysical Research: Solid Earth 127 (6), e2021JB023241."
"Shillington",2022,"CJW Carchedi, JB Gaherty, SC Webb, DJ Shillington. 2022. Investigating Short‐Period Lake‐Generated Microseisms Using a Broadband Array of Onshore and Lake‐Bottom Seismometers, Seismological Society of America 93 (3), 1585-1600."
"Shillington",2022,"DJ Shillington. 2022. Top-down control on water subduction, Nature Geoscience 15 (2), 94-95."
"Sisk",2022,"SE Sesnie, L Johnson, E Yurcich, TD Sisk, J Goodwin, R Chester. 2022. Multisensor models for assessing recurrent fire compatibility with habitat recovery for a critically endangered species, Remote Sensing of Environment 269, 112824."
"Smith",2022,"PJ Gannon, ME Smith, PJ Umhoefer, RJ Leary. 2022. High-resolution late Paleozoic cyclostratigraphy and tectonic evolution of the Keeler Basin, California, southwest Laurentia, Bulletin 134 (3-4), 1065-1078."
"Smith",2022,"E Klonowski, T Lowenstein, A Carroll, ME Smith, M Paperini, J Pietras. 2022. Recurring lacustrine depositional successions in the Wilkins Peak Member, Green River Formation: The basin-center evaporite perspective, Utah Geological Association Publication 50, 1-23."
"Smith",2022,"RJ Leary, ME Smith, P Umhoefer. 2022. Mixed eolian–longshore sediment transport in the late Paleozoic Arizona shelf and Pedregosa basin, USA: A case study in grain-size analysis of detrital-zircon datasets, Journal of Sedimentary Research 92 (8), 676-694."
"Souther",2022,"C Aslan, S Souther. 2022. The interaction between administrative jurisdiction and disturbance on public lands: Emerging socioecological feedbacks and dynamics, Journal of Environmental Management 319, 115682."
"Souther",2022,"S Souther, JB McGraw, JD Souther, DM Waller. 2022. Effects of altered climates on American ginseng population dynamics, Population Ecology 64 (1), 47-63."
"Souther",2022,"S Souther, M Sample, G Conley, C Aslan. 2022. Demographic Analysis of the Endangered Plant Pectis imberbis Highlights Tradeoffs between Deer Browse and Interspecific Competition, Natural Areas Journal 42 (3), 230-241."
"Springer",2022,"KM Donovan, AE Springer, BW Tobin, RA Parnell. 2022. Karst Spring processes and storage implications in high elevation, semiarid southwestern United States, Threats to Springs in a Changing World: Science and Policies for Protection … ."
"Springer",2022,"AB Soder, JM Mueller, AE Springer, KE LaPine. 2022. Geospatial Analysis of Nonmarket Values to Prioritize Forest Restoration, Land 11 (9), 1387."
"Springer",2022,"AE Springer. 2022. The Story Told by Springs, Groundwater Week 2022."
"Springer",2022,"AE Springer. 2022. Birdsall-Dreiss Lecture, Groundwater Week 2022."
"Stuart",2022,"D Stuart, B Petersen, R Gunderson. 2022. Shared pretenses for collective inaction: the economic growth imperative, COVID-19, and climate change, Post-Covid Transformations 40-57."
"Stuart",2022,"D Stuart. 2022. Tensions between individual and system change in the climate movement: an analysis of Extinction Rebellion, New political economy 27 (5), 806-819."
"Stuart",2022,"M Houser, R Gunderson, D Stuart, RCH Denny. 2022. How farmers “repair” the industrial agricultural system, Social Innovation and Sustainability Transition 49-63."
"Umhoefer",2022,"MH Darin, PJ Umhoefer. 2022. Diachronous initiation of Arabia–Eurasia collision from eastern Anatolia to the southeastern Zagros Mountains since middle Eocene time, International Geology Review 64 (18), 2653-2681."
"Umhoefer",2022,"RB Miller, KI Bryant, B Doran, MP Eddy, FP Raviola, N Sylva, et al.. 2022. Eocene dike orientations across the Washington Cascades in response to a major strike-slip faulting episode and ridge-trench interaction, Geosphere 18 (2), 697-725."
"Umhoefer",2022,"PJ Gannon, ME Smith, PJ Umhoefer, RJ Leary. 2022. High-resolution late Paleozoic cyclostratigraphy and tectonic evolution of the Keeler Basin, California, southwest Laurentia, Bulletin 134 (3-4), 1065-1078."
"Umhoefer",2022,"RJ Leary, ME Smith, P Umhoefer. 2022. Mixed eolian–longshore sediment transport in the late Paleozoic Arizona shelf and Pedregosa basin, USA: A case study in grain-size analysis of detrital-zircon datasets, Journal of Sedimentary Research 92 (8), 676-694."
"Umhoefer",2022,"MA Lamb, TA Hickson, PJ Umhoefer, ZW Anderson, C Pomerleau, et al.. 2022. Middle Miocene faulting and basin evolution during central Basin and Range extension: A detailed record from the upper Horse Spring Formation and red sandstone unit, Lake Mead …, Geosphere 18 (5), 1394-1434."
"Umhoefer",2022,"EE Donaghy, PJ Umhoefer, MP Eddy, RB Miller, T LaCasse. 2022. Stratigraphy, age, and provenance of the Eocene Chumstick basin, Washington Cascades; implications for paleogeography, regional tectonics, and development of strike-slip basins …, Bulletin 134 (7-8), 2172-2176."
"Wasylenki",2022,"SG John, RL Kelly, X Bian, F Fu, MI Smith, NT Lanning, H Liang, et al.. 2022. The biogeochemical balance of oceanic nickel cycling, Nature Geoscience 15 (11), 906-912."
"Wasylenki",2022,"JM Smith, EM Ripley, C Li, LE Wasylenki. 2022. Cu and Ni isotope variations of country rock-hosted massive sulfides located near midcontinent rift intrusions, Economic Geology 117 (1), 195-211."
"Aslan",2021,"CE Aslan, MW Brunson, BA Sikes, RS Epanchin‐Niell, S Veloz, et al.. 2021. Coupled ecological and management connectivity across administrative boundaries in undeveloped landscapes, Ecosphere 12 (1), e03329."
"Aslan",2021,"ME Sandor, CE Aslan, L Pejchar, JL Bronstein. 2021. A mechanistic framework for understanding the effects of climate change on the link between flowering and fruiting phenology, Frontiers in Ecology and Evolution 9, 752110."
"Aslan",2021,"J Leary, K Grimm, C Aslan, M Mark, S Frey, R Bath-Rosenfeld. 2021. Landowners’ socio-cultural valuation of ecosystem services provided by trees in Costa Rican agricultural landscapes, Environmental Management 67, 974-987."
"Aslan",2021,"CE Aslan, S Souther, S Stortz, M Sample, M Sandor, C Levine, L Samberg, et al.. 2021. Land management objectives and activities in the face of projected fire regime change in the Sonoran desert, Journal of Environmental Management 280, 111644."
"Aslan",2021,"J Major, D Perry, C Aslan, R McManamay. 2021. Identifying gaps in protected areas to expand integrated riverine ecosystem conservation, Conservation Science and Practice 3 (8), e470."
"Aslan",2021,"CE Aslan, L Zachmann, M McClure, BA Sikes, S Veloz, MW Brunson, et al.. 2021. Quantifying ecological variation across jurisdictional boundaries in a management mosaic landscape, Landscape Ecology 36, 1215-1233."
"Aslan",2021,"CE Aslan, M Sandor, M Sample, S Stortz, S Souther, C Levine, L Samberg, et al.. 2021. Estimating social‐ecological resilience: fire management futures in the Sonoran Desert, Ecological applications 31 (4), e02303."
"Best",2021,"JR Jeplawy, HF Cooper, J Marks, RL Lindroth, MI Andrews, ZG Compson, et al.. 2021. Plastic responses to hot temperatures homogenize riparian leaf litter, speed decomposition, and reduce detritivores, Ecology 102 (10), e03461."
"Best",2021,"KA Chapman, RJ Best, ME Smith, ER Mueller, PE Grams, RA Parnell. 2021. Estimating the contribution of tributary sand inputs to controlled flood deposits for sandbar restoration using elemental tracers, Colorado River, Grand Canyon National Park …, GSA Bulletin 133 (5-6), 1141-1156."
"Best",2021,"AM Eger, RJ Best, JK Baum. 2021. Dominance determines fish community biomass in a temperate seagrass ecosystem, Ecology and evolution 11 (15), 10489-10501."
"Biggs",2021,"LF Rudd, S Allred, JG Bright Ross, D Hare, MN Nkomo, K Shanker, et al.. 2021. Overcoming racism in the twin spheres of conservation science and practice, Proceedings of the Royal Society B 288 (1962), 20211871."
"Biggs",2021,"H Cheung, H Doughty, A Hinsley, E Hsu, TM Lee, EJ Milner‐Gulland, et al.. 2021. Understanding Traditional Chinese Medicine to strengthen conservation outcomes, People and Nature 3 (1), 115-128."
"Biggs",2021,"E Kichamu-Wachira, Z Xu, K Reardon-Smith, D Biggs, G Wachira, et al.. 2021. Effects of climate-smart agricultural practices on crop yields, soil carbon, and nitrogen pools in Africa: a meta-analysis, Journal of Soils and Sediments 21, 1587-1597."
